Main Topics,Subtopics,Details,Links,Video Links
Java Basics,Programming Language and Memory Management,What is a programming Language,,https://youtu.be/DEC268j2hk0
,,Machine Language,,
,,Assembly Language,,
,,High Level Language,,
,,Procedural Language,,
,,Functional Language,,
,,Object Oriented Language,,
,,Scripting Language,,
,,Stack Memory,,
,,Heap Memory,,
,,Garbage Collection,,
,Flow of a program,Flowchart,,https://youtu.be/wL6sbJOzF5A
,,Psuedocode,,
,,Algorithm,,
,How Java Program Compiles,Byte code,,https://youtu.be/2Uer9X75EPI
,,Machine code,,
,,why java is platform independent,,
,,"JDK, JRE, JVM, JIT",,
,Writing your first program,installation of Java,,https://youtu.be/1Z2QzcbLicY
,,installation of IDE,,
,,"""Hello Coder""",,
,,entrypoint of program,,
,,commandline arguments,,
,,generating byte code in style,,
,,How computer runs your program?,,
,,writing comments in java,,
,Java being Java,Variables and constants,,https://youtu.be/FVs7Z9RfIJE
,,Literals and keywords,,
,,data types,,
,,Program to swap two numbers,,
,,Type casting Implicit and explicit,,
,,Automatic type promotion,,
,,Wrapper class,,
,,ASCII Values,,
,,Unicode style,,
,Inputs and Operators,Operators in java,,https://youtu.be/NZF0Rwrubs0
,,How to take input,,
,Organize your code,Java Packages,,https://youtu.be/Axw8usR3rEA
,,Access Specifiers,,
,Control Statements,if-else,,https://youtu.be/N6unLhAxy8s
,,switch case,,
,,while loop,,
,,do-while Loop,,
,,for each loop,,
,Functions in Java,Functions,,https://youtu.be/IkOkAzNuefc
,,Types of functions,,
,,create your own functions,,
,,call by value and call by reference,,
,Mini Project -1 ,Calculator Application,,https://youtu.be/FM1ujSiOSi0
,,Temperature convertor,,
,Strings in Java,characters,,https://youtu.be/aqjGYjtczvY
,,string literals ,,
,,string constant pool,,
,,subsequences,,
,,substrings,,
,,String comparison,,
,,String with new operator,,
,,Reference Comparision,,
,More on Strings,String Builder,,https://youtu.be/rXSUJ-PwU4g
,,String Buffer,,
,,Next vs NextLine,,
,,Taking string as a user input,,
,,compareTo function,,
,,trim function,,
,,split function,,
,,startsWith function,,
,,endsWith function,,
,,IndexOf function,,
,,lastIndexOf function,,
,,charAt function,,
,,toLowerCase function,,
,,toUpperCase function,,
,,toCharArray function,,
,Playing with String,Input Buffer and delimeters,,https://youtu.be/SrPyIYakYt8
,,String formatting,,
,,String Concatination,,
,Arrays in Java,what are arrays,,https://youtu.be/TsoTexsJWlI
,,concept of indexing,,
,,"Insert, update, delete, traverse",,
,,How arrays work in memory,,
